fir_number,district,police_station,crime_type,ipc_bns_sections,incident_date,report_date,location_description,latitude,longitude,complainant_name,complainant_age,complainant_gender,complainant_contact,accused_name,accused_age,accused_gender,accused_count,weapon_used,property_loss_inr,case_status,case_outcome,investigating_officer,severity,is_juvenile_involved
0449/2018,Belagavi,Tilakwadi PS,Domestic Violence,"498A, 85",2018-10-29,2018-11-01,"407, Dugar Road",14.114396,76.059831,Ranbir Khosla,21,Female,+913538933006,Januja Varty,31,Other,1,Rope,0,Pending Court Trial,Dismissed,PSI Goyal,Medium,No
0450/2021,Kalaburagi,Station Bazaar PS,Cybercrime - Phishing,"66C IT Act, 319",2021-10-07,2021-10-08,"39, Bhavsar Circle",14.427567,77.421528,Unnati Bajaj,54,Male,+913096900646,Krishna Sundaram; Aadhya Sankaran,26,Male,2,None,425899.86,Under Investigation,,ASI Madan,Medium,No
0451/2025,Hubballi-Dharwad,Dharwad Rural PS,Cybercrime - Online Fraud,"66D IT Act, 318",2025-02-26,2025-03-02,"94/604, Majumdar Ganj",17.535393,74.973992,Sanya Sankar,54,Other,+917089119814,Mitesh Toor,23,Female,1,None,428558.39,FIR Registered,,ASI Pandey,Medium,No
0452/2026,Shivamogga,Vinoba Nagar PS,Theft,"379, 303",2026-03-10,2026-03-13,"66/790, Bobal Nagar",17.896283,78.042133,Jagdish Divan,33,Male,06476632637,Jalsa Sane; Sanya Kata,45,Other,2,None,111592.1,Convicted,Acquitted,Inspector Parikh,Low,No
0453/2026,Bengaluru Urban,Cubbon Park PS,Counterfeiting,"489B, 178",2026-03-24,2026-03-28,"H.No. 55, Sarma Path",13.18358,76.513191,Brinda Gopal,51,Female,4521600787,Ekta Minhas; Tanvi Karpe; Vihaan Ramachandran,24,Female,3,None,0,Under Investigation,,ASI Maharaj,Low,Yes
0454/2022,Tumakuru,City PS,Murder,"302, 103",2022-01-08,2022-01-10,"94/479, Mitter Chowk",17.505455,77.36279,Zaitra Deep,23,Male,08159423853,Ojasvi Sunder; Quincy Buch; Vedika Gara,60,Female,3,Firearm,0,Charge Sheet Filed,Dismissed,DySP Deep,High,Yes
0455/2025,Shivamogga,Vinoba Nagar PS,Murder,"302, 103",2025-11-20,2025-11-23,"378, Dave Circle",17.754041,75.498078,Vivaan Walla,73,Female,02181395813,Kamala Toor; Pranit Kara; Leena Thaker,58,Male,3,Knife,0,Under Investigation,,ASI Dube,High,Yes
0456/2024,Tumakuru,Bharathinagar PS,Hit and Run,"304A, 106",2024-01-31,2024-02-04,"779, Sekhon Ganj",16.650325,74.246653,Gaurav Merchant,68,Other,04755859294,Unknown,,,0,None,0,Convicted,Pending,Inspector Baral,Low,No
0457/2022,Kalaburagi,Brahmapur PS,Assault,"323, 115",2022-04-18,2022-04-20,"12, Mohan Zila",16.915029,74.622826,Benjamin Lad,20,Female,2609418884,Samesh Walia; Yashoda Basak,29,Other,2,Knife,0,Case Closed,Compounded,Inspector Morar,Medium,No
0458/2026,Davanagere,P.G. Halli PS,Counterfeiting,"489B, 178",2026-04-09,2026-04-13,"H.No. 141, Tank Ganj",15.024962,75.903181,Yug Chakrabarti,62,Male,+919503672592,Shivani Nath,38,Female,1,None,0,FIR Registered,,CPI Bajaj,Low,No
0459/2023,Kalaburagi,Station Bazaar PS,Rioting,"147, 191",2023-06-15,2023-06-19,"H.No. 40, Brar Street",17.161571,78.233941,Frederick Das,25,Female,+917148485181,Agastya Swaminathan; Jatin Chokshi,46,Other,2,Sharp Weapon,0,Pending Court Trial,Compounded,DySP Rajagopal,Low,No
0460/2022,Shivamogga,Town PS,Robbery,"392, 309",2022-05-20,2022-05-21,"18, Handa Nagar",18.164733,74.102106,Alka Chakraborty,22,Male,08448628889,Adweta Keer,35,Male,1,Firearm,248416.2,Charge Sheet Filed,Settled Out of Court,PSI Buch,High,No
0461/2021,Davanagere,P.G. Halli PS,Counterfeiting,"489B, 178",2021-11-21,2021-11-24,"265, Raman Path",17.344633,76.338292,Tripti Din,59,Male,4733034332,Agastya Boase; Peter Pant,30,Male,2,None,0,Case Closed,Acquitted,SI Dixit,Low,No
0462/2023,Ballari,Bruhat Bangalore PS,Vehicle Theft,"379, 303",2023-06-15,2023-06-19,"H.No. 88, Kara Chowk",17.024874,75.020519,Gaurangi Sahni,51,Other,01636520536,Tristan Dhar; Megha Lall; Zansi Warrior,47,Female,3,None,283842.2,Acquitted,Acquitted,CPI Atwal,Medium,No
0463/2021,Hubballi-Dharwad,Hubballi Old City PS,Murder,"302, 103",2021-12-17,2021-12-19,"H.No. 437, Char Street",16.350015,76.998602,Rishi Mane,28,Other,04908973759,Aadhya Khurana,52,Female,1,Firearm,0,Case Closed,Compounded,PSI Saran,High,No
0464/2021,Belagavi,Camp PS,Burglary,"331(4), 305",2021-07-20,2021-07-24,"05, Virk Marg",13.718606,75.547312,Shravya Thakkar,34,Female,8505729981,Yatan Sandhu,31,Other,1,None,353713.62,Under Investigation,,DySP Koshy,Medium,No
0465/2021,Davanagere,P.G. Halli PS,Arson,"436, 324",2021-05-20,2021-05-20,"H.No. 47, Atwal Road",11.53006,77.323227,Janani Tara,43,Female,2464766723,Gaurangi Jaggi,47,Female,1,None,0,FIR Registered,,PSI Pandit,High,No
0466/2021,Kalaburagi,Station Bazaar PS,Counterfeiting,"489B, 178",2021-04-02,2021-04-06,"54/73, Saini Chowk",14.852869,74.180364,Nilima Bhargava,69,Other,00608172834,Akshay Shanker; Lekha Sibal; Isaac Pal,39,Other,3,None,0,Acquitted,Compounded,SI Bhalla,Low,No
0467/2022,Mysuru,Nazarbad PS,Theft,"379, 303",2022-07-04,2022-07-08,"H.No. 004, Rajan Path",15.989189,76.625441,Tanish Singh,46,Female,+913215659789,Unknown,,,0,None,163520.05,FIR Registered,,Inspector Bhatnagar,Low,No
0468/2018,Belagavi,Tilakwadi PS,Cybercrime - Phishing,"66C IT Act, 319",2018-04-03,2018-04-03,"H.No. 91, Acharya Marg",14.933258,76.714273,Arunima Puri,46,Other,+910785412719,Unknown,,,0,None,487931.83,Pending Court Trial,Acquitted,ASI Choudhary,Medium,No
0469/2022,Davanagere,P.G. Halli PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2022-06-17,2022-06-18,"H.No. 335, Dora",13.959485,78.398856,Brijesh Chopra,45,Female,+911751667977,Rudra Narayan; Vivaan Jain; Warda Dutta,41,Male,3,None,0,Acquitted,Pending,CPI Sarma,High,No
0470/2026,Mysuru,Vijayanagar PS,Rioting,"147, 191",2026-04-26,2026-04-29,"H.No. 60, Chowdhury",13.622618,78.447721,Harrison Pall,36,Male,0469904841,Warinder Mander; Sathvik Nayak; Radha Wason,44,Male,3,Knife,0,Convicted,Acquitted,PSI Natarajan,Low,No
0471/2022,Kalaburagi,Brahmapur PS,Public Nuisance,"268, 270",2022-03-20,2022-03-20,"56/668, Saini Nagar",16.471729,77.398597,Agastya Kota,58,Female,+910683493567,Wriddhish Sanghvi; Wazir Chandran; Aditya Sule,29,Other,3,None,0,Under Investigation,,ASI Parsa,Low,No
0472/2024,Mangaluru,Mangaladevi PS,Chain Snatching,"356, 304",2024-03-18,2024-03-21,"14, Prabhu Marg",11.68788,74.01101,Darsh Wadhwa,70,Female,+914047360480,Zilmil Prashad; Michael Oza,49,Other,2,None,370058.08,Under Investigation,,PSI Narang,Medium,No
0473/2022,Shivamogga,Town PS,Chain Snatching,"356, 304",2022-09-05,2022-09-06,"12/249, Pal Marg",15.692239,75.627918,Hemangini Gulati,62,Other,+916020088060,Eta Chacko,19,Male,1,None,382476.82,Case Closed,Convicted,ASI Goswami,Medium,No
0474/2025,Tumakuru,Bharathinagar PS,Counterfeiting,"489B, 178",2025-10-14,2025-10-14,"H.No. 663, Kothari Circle",15.571581,74.657617,Yashawini Lad,64,Other,7409047339,Unknown,,,0,None,0,Case Closed,Acquitted,CPI Khosla,Low,No
0475/2019,Shivamogga,Town PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2019-10-31,2019-10-31,"H.No. 31, Salvi Nagar",15.972626,74.34572,Zaid Saraf,44,Other,06122689679,Urmi Naik; Udant Karpe,21,Female,2,None,0,Charge Sheet Filed,Settled Out of Court,CPI Bali,High,No
0476/2026,Mangaluru,Bunder PS,Hit and Run,"304A, 106",2026-06-10,2026-06-11,"H.No. 611, Sundaram Zila",14.037659,76.404891,Samuel Savant,73,Female,+919990331340,Chaman Upadhyay; Peter Bhavsar,35,Other,2,None,0,Pending Court Trial,Compounded,DySP Sabharwal,Low,No
0477/2023,Mangaluru,Bunder PS,Murder,"302, 103",2023-10-24,2023-10-26,"H.No. 83, Peri Marg",13.047795,74.847876,Balendra Ahluwalia,49,Female,5767422476,Darsh Sarin; Banjeet Sankaran,28,Male,2,Blunt Object,0,Case Closed,Settled Out of Court,PSI Maharaj,High,No
0478/2023,Ballari,Cowl Bazar PS,Eve Teasing/Harassment,"354, 354A",2023-03-02,2023-03-02,"32, Mallick Nagar",14.03798,77.676674,Gautam Murty,26,Male,4120037313,Darpan Palla; Dhruv Gara; Bhavya Mishra,40,Female,3,None,0,Under Investigation,,DySP Pall,Low,No
0479/2025,Ballari,Bruhat Bangalore PS,Cybercrime - Online Fraud,"66D IT Act, 318",2025-12-17,2025-12-19,"H.No. 21, Dave Marg",13.651998,74.944285,Bakhshi Pathak,70,Male,09177103550,Nitesh Kapur,26,Other,1,None,71608.49,Under Investigation,,PSI Kothari,Medium,No
0480/2018,Tumakuru,City PS,Robbery,"392, 309",2018-03-19,2018-03-22,"288, Sabharwal Chowk",11.914857,74.53515,Hemal Reddy,20,Male,+911713137429,Unknown,,,0,None,396631.06,Convicted,Settled Out of Court,Inspector Chahal,High,No
0481/2021,Hubballi-Dharwad,Hubballi Old City PS,Robbery,"392, 309",2021-05-20,2021-05-25,"15/43, Ramaswamy",12.135455,77.806377,Upkaar Mittal,24,Male,04879769541,Girish Kaur,55,Male,1,Firearm,335465.02,Under Investigation,,SI Gour,High,No
0482/2019,Ballari,Bruhat Bangalore PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2019-10-20,2019-10-24,"H.No. 533, Krishna Chowk",16.842708,76.379774,Imaran Rajan,57,Male,05962775831,Unknown,,,0,None,0,Convicted,Settled Out of Court,SI Munshi,High,No
0483/2024,Belagavi,Tilakwadi PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-01-10,2024-01-10,"H.No. 641, Lad",16.21468,74.48296,Tristan Gulati,24,Male,04131720610,Libni Vohra; Upadhriti Hayre; Kabir Guha,41,Other,3,None,294895.6,Case Withdrawn,,ASI Kari,Medium,No
0484/2023,Tumakuru,Bharathinagar PS,Cybercrime - Phishing,"66C IT Act, 319",2023-10-08,2023-10-09,"89/683, Handa Zila",14.970712,75.625627,Christopher Dada,66,Female,+918340313688,Unknown,,,0,None,233217.9,Case Closed,Acquitted,Inspector Hans,Medium,No
0485/2018,Hubballi-Dharwad,Dharwad Rural PS,Burglary,"331(4), 305",2018-12-03,2018-12-05,"37/303, Reddy Street",15.377411,75.307652,Laban Vaidya,42,Female,07162032689,Balendra Lall; Girindra Kannan; Warda Baria,56,Other,3,None,156347.45,Case Closed,Acquitted,ASI Patil,Medium,No
0486/2025,Belagavi,Camp PS,Counterfeiting,"489B, 178",2025-08-13,2025-08-15,"63/01, Grover Zila",14.566408,76.963467,Frederick Prakash,61,Female,00235778933,Unknown,,,0,None,0,Under Investigation,,ASI Choudhry,Low,No
0487/2022,Mysuru,Devaraja PS,Murder,"302, 103",2022-06-06,2022-06-09,"75, Buch Nagar",15.664726,78.457976,Isaiah Tata,24,Other,+914721284167,Rudra Chaudhuri,22,Female,1,Blunt Object,0,Acquitted,Acquitted,CPI Sunder,High,No
0488/2026,Tumakuru,Bharathinagar PS,Kidnapping,"363, 137",2026-01-01,2026-01-05,"50/652, Atwal Zila",18.150972,78.443854,Tejas Saraf,66,Other,+912167309903,Mohammed Saha; Frado Ganesh; Baljiwan Minhas,40,Female,3,None,0,Pending Court Trial,Settled Out of Court,DySP Sami,High,No
0489/2019,Mangaluru,Mangaladevi PS,Assault,"323, 115",2019-05-16,2019-05-18,"45/463, Gole Chowk",16.246752,78.374326,Jatin Ramachandran,32,Other,+910441692416,Warda Doshi,19,Male,1,None,0,Case Closed,Dismissed,SI Saha,Medium,No
0490/2024,Kalaburagi,Brahmapur PS,Chain Snatching,"356, 304",2024-12-22,2024-12-26,"749, Dar Zila",14.931753,75.177494,Ekani Saraf,22,Other,01801234537,Lucky Ramakrishnan; Ekaraj Gupta; Warda Bera,47,Male,3,None,147134.68,Under Investigation,,ASI Korpal,Medium,No
0491/2022,Davanagere,P.G. Halli PS,Burglary,"331(4), 305",2022-10-29,2022-10-29,"H.No. 341, Mahajan Road",17.522525,75.363701,Waida Sahota,38,Female,+917692108358,Laksh Biswas; Abeer Shenoy; Balhaar Naidu,47,Male,3,None,16913.47,Case Closed,Compounded,Inspector Vig,Medium,No
0492/2021,Shivamogga,Vinoba Nagar PS,Murder,"302, 103",2021-07-03,2021-07-08,"H.No. 59, Ravel Road",17.48046,76.280083,Adweta Rajagopal,66,Male,01882791497,Jagrati Basak; Tamanna Keer; Gautami Walia,60,Other,3,Rope,0,Case Closed,Settled Out of Court,ASI Naidu,High,No
0493/2025,Shivamogga,Vinoba Nagar PS,Hit and Run,"304A, 106",2025-08-02,2025-08-04,"H.No. 10, Chakrabarti Ganj",11.815829,77.766204,Varenya Nazareth,36,Female,+919400904842,Unknown,,,0,None,0,Convicted,Settled Out of Court,SI Goel,Low,No
0494/2022,Kalaburagi,Brahmapur PS,Vehicle Theft,"379, 303",2022-04-08,2022-04-08,"60/63, Raja",13.684697,74.382238,Tanish Bhardwaj,40,Female,07558766835,Damyanti Ganesh; Indira Lad,21,Other,2,None,122492.33,Case Closed,Compounded,PSI Uppal,Medium,No
0495/2019,Hubballi-Dharwad,Hubballi Old City PS,Vehicle Theft,"379, 303",2019-11-27,2019-11-27,"H.No. 71, Ravi Street",16.371709,76.645952,Yuvraj Purohit,20,Female,00009744606,Noah Zacharia; Vidhi Bala; Viraj Dayal,54,Other,3,None,450754.22,Pending Court Trial,Convicted,CPI Sethi,Medium,No
0496/2024,Tumakuru,Bharathinagar PS,Vehicle Theft,"379, 303",2024-06-03,2024-06-03,"71/854, Karpe Road",12.666391,75.347844,Yadavi Zacharia,24,Other,5824466768,Alka Mangat,39,Female,1,None,251632.88,Convicted,Pending,DySP Baral,Medium,No
0497/2024,Belagavi,Tilakwadi PS,Robbery,"392, 309",2024-01-04,2024-01-05,"89/44, Chawla",15.643053,75.230142,Umang Kumer,21,Female,9129700181,David Oak; Yash Nayak; Tarak Kohli,32,Other,3,Knife,358994.57,Charge Sheet Filed,Convicted,Inspector Dada,High,No
0498/2020,Davanagere,Vidyanagar PS,Eve Teasing/Harassment,"354, 354A",2020-05-09,2020-05-11,"551, Ahuja Nagar",12.900539,75.810354,Eesha Kurian,59,Female,+919602167144,Yashoda Mutti; Nicholas Parmer,45,Other,2,None,0,Convicted,Pending,Inspector Kade,Low,No
0499/2025,Shivamogga,Town PS,Theft,"379, 303",2025-01-15,2025-01-20,"H.No. 75, Mandal Street",13.375552,76.870669,Rudra Barad,29,Other,+913949859476,Manya Kulkarni; Sachi Chaudhuri; Nidra Buch,31,Other,3,None,481077.48,Pending Court Trial,Dismissed,DySP Chand,Low,No
0500/2020,Tumakuru,City PS,Extortion,"384, 308",2020-04-01,2020-04-03,"H.No. 49, Sarkar Ganj",12.924906,75.855973,Tanish Nadig,33,Male,+918505095803,Raksha Narasimhan; Liam Jain,45,Female,2,Sharp Weapon,430162.88,Case Closed,Compounded,SI Mishra,High,No
0501/2020,Mangaluru,Mangaladevi PS,Hit and Run,"304A, 106",2020-08-25,2020-08-28,"H.No. 139, Toor Road",14.749118,76.519213,Janani Babu,27,Male,00899889197,Unknown,,,0,None,0,Charge Sheet Filed,Pending,PSI Pai,Low,No
0502/2020,Tumakuru,Bharathinagar PS,Burglary,"331(4), 305",2020-04-07,2020-04-08,"821, Sandal Nagar",14.900894,74.089589,Indrajit Dhawan,19,Female,9206037539,Waida Deshpande; Sai Agrawal,60,Other,2,None,88404.62,Charge Sheet Filed,Compounded,SI Nanda,Medium,No
0503/2021,Mysuru,Nazarbad PS,Hit and Run,"304A, 106",2021-05-05,2021-05-05,"H.No. 558, Shanker Path",18.102135,77.259055,Sai Kant,44,Female,2018461221,Unknown,,,0,None,0,FIR Registered,,ASI Chandra,Low,No
0504/2024,Mangaluru,Bunder PS,Assault,"323, 115",2024-05-27,2024-06-01,"79/427, Kumer Marg",16.912336,75.410346,Samaksh Desai,25,Other,3812122844,Chakrika Krishnan; Laksh Kaul,49,Male,2,Blunt Object,0,Pending Court Trial,Convicted,Inspector Kunda,Medium,No
0505/2020,Tumakuru,City PS,Eve Teasing/Harassment,"354, 354A",2020-06-11,2020-06-12,"920, Thakur Ganj",11.891478,76.400615,Nidhi Ghose,31,Female,1410762866,Bishakha Khanna; Aarush Atwal; Ekantika Butala,44,Female,3,None,0,Under Investigation,,Inspector Suri,Low,No
0506/2022,Mysuru,Nazarbad PS,Arson,"436, 324",2022-10-02,2022-10-05,"483, Barman Chowk",11.647519,78.350623,Amaira Bala,35,Male,01953633571,Atharv Shetty; Charita Dave,48,Other,2,None,0,Acquitted,Pending,CPI Parsa,High,No
0507/2024,Bengaluru Urban,Whitefield PS,Kidnapping,"363, 137",2024-03-13,2024-03-16,"07, Manne Street",17.50353,75.74812,Tanish Bakshi,62,Female,02405051041,Unknown,,,0,None,0,Charge Sheet Filed,Acquitted,Inspector Garg,High,No
0508/2019,Tumakuru,Bharathinagar PS,Chain Snatching,"356, 304",2019-01-05,2019-01-06,"097, Tak Marg",17.025222,75.233164,Benjamin Suri,73,Male,+913163247856,Umang Rastogi; Girish Mohan; Indali Ratti,58,Female,3,None,439793.89,Charge Sheet Filed,Dismissed,DySP Manda,Medium,No
0509/2021,Shivamogga,Vinoba Nagar PS,Eve Teasing/Harassment,"354, 354A",2021-09-24,2021-09-29,"468, Bobal Circle",14.446094,77.281542,Ayaan Vora,70,Male,0804799598,Devika Seth,34,Other,1,None,0,Case Closed,Pending,SI Minhas,Low,No
0510/2018,Kalaburagi,Station Bazaar PS,Theft,"379, 303",2018-08-02,2018-08-07,"00, Narang Zila",15.530665,74.498727,Mohammed Sankar,58,Female,01439090260,Gavin Jayaraman,18,Female,1,None,100437.62,Pending Court Trial,Pending,CPI Bedi,Low,No
0511/2021,Mangaluru,Kankanady PS,Eve Teasing/Harassment,"354, 354A",2021-08-01,2021-08-04,"92/91, Brar Chowk",17.096701,74.893987,Hitesh Wagle,65,Male,06846079918,Aashi Shankar; Advaith Dave,29,Other,2,None,0,Case Closed,Pending,Inspector Dash,Low,No
0512/2024,Mangaluru,Mangaladevi PS,Fraud/Cheating,"420, 318",2024-05-25,2024-05-26,"333, Ghosh Path",17.462816,74.224023,Darsh Warrior,19,Other,5914586100,Megha Arya,23,Female,1,None,99533.97,Under Investigation,,DySP Dora,Medium,No
0513/2018,Ballari,Bruhat Bangalore PS,Murder,"302, 103",2018-12-31,2019-01-02,"22, Narula Zila",17.290802,76.223671,Anusha Om,54,Male,02578487473,Unknown,,,0,Vehicle,0,Under Investigation,,ASI Badal,High,No
0514/2020,Belagavi,Shahapur PS,Cybercrime - Phishing,"66C IT Act, 319",2020-02-20,2020-02-22,"H.No. 478, Singhal Path",16.240321,75.882489,Mitesh Tella,49,Female,8569435662,Falan Shere,45,Male,1,None,300241.35,Charge Sheet Filed,Compounded,CPI Toor,Medium,No
0515/2020,Mangaluru,Bunder PS,Chain Snatching,"356, 304",2020-12-08,2020-12-09,"31, Suri Path",14.282883,74.954979,Ekbal Divan,33,Female,08069448369,Dakshesh Bhatia; Aradhana Mannan; Yachana Raghavan,23,Male,3,None,234706.36,Pending Court Trial,Compounded,CPI Kari,Medium,No
0516/2019,Tumakuru,Bharathinagar PS,Robbery,"392, 309",2019-01-26,2019-01-30,"H.No. 458, Raman",15.837605,75.361283,Leena Tara,39,Male,00719562603,Tanmayi Lad; Yagnesh Desai; Hardik Shenoy,40,Other,3,None,3177.81,Under Investigation,,Inspector Varma,High,No
0517/2018,Kalaburagi,Brahmapur PS,Arson,"436, 324",2018-06-18,2018-06-22,"H.No. 819, Shroff",12.127536,77.19615,Lajita Viswanathan,28,Other,05705279687,Aarini Shah; Fariq Gara; Charles Dhawan,39,Female,3,None,0,Under Investigation,,PSI Mody,High,No
0518/2018,Hubballi-Dharwad,Hubballi Old City PS,Vehicle Theft,"379, 303",2018-06-30,2018-07-01,"233, Mukhopadhyay",17.307124,78.170226,Pushti Palla,71,Female,5341688983,Jeevika Guha; Vedika Setty,45,Female,2,None,451444.94,Case Closed,Settled Out of Court,CPI Sani,Medium,No
0519/2026,Tumakuru,City PS,Vehicle Theft,"379, 303",2026-04-07,2026-04-10,"H.No. 91, Bhatnagar Road",11.751036,75.171008,Pahal Ramakrishnan,27,Other,6337565074,Alexander Buch; Lakshmi Varkey; Jyoti Sarma,21,Male,3,None,74736.09,Convicted,Acquitted,PSI De,Medium,No
0520/2018,Tumakuru,City PS,Counterfeiting,"489B, 178",2018-06-17,2018-06-20,"H.No. 788, Kamdar Ganj",17.568155,74.556444,Viraj Shankar,63,Other,2399796991,Kai Choudhury; Samaksh Jaggi; Yashvi Tailor,47,Female,3,None,0,Case Closed,Compounded,SI Deshpande,Low,No
0521/2026,Hubballi-Dharwad,Hubballi Old City PS,Cybercrime - Online Fraud,"66D IT Act, 318",2026-05-30,2026-06-03,"28, Ramaswamy Path",14.414933,74.34576,Hema Mand,54,Other,3118485714,Yashodhara Barman,55,Male,1,None,263244.7,Convicted,Acquitted,Inspector Parmar,Medium,No
0522/2021,Mysuru,Nazarbad PS,Theft,"379, 303",2021-03-10,2021-03-15,"36/288, Mane Street",11.702122,76.071049,Charita Mutti,25,Female,09852846742,Yoshita Devi; Saanvi Gour,55,Male,2,None,418570.12,Case Withdrawn,,PSI Kar,Low,No
0523/2024,Shivamogga,Vinoba Nagar PS,Kidnapping,"363, 137",2024-08-30,2024-09-04,"91, Walia Zila",17.848149,77.586651,Vivaan Golla,20,Other,+919164192384,Ronith Madan; Falguni Bora; Vamakshi Raman,38,Other,3,None,0,Under Investigation,,DySP Johal,High,No
0524/2018,Bengaluru Urban,Jayanagar PS,Vehicle Theft,"379, 303",2018-08-16,2018-08-21,"H.No. 122, Ramanathan Marg",13.180561,77.468949,Siya Subramaniam,56,Female,09818307030,Unknown,,,0,None,199729.82,Under Investigation,,PSI Parekh,Medium,No
0525/2020,Tumakuru,City PS,Theft,"379, 303",2020-05-02,2020-05-03,"H.No. 08, Agate Path",17.144472,75.395456,Kashish Chandran,43,Female,04595536890,Kashish Rana,25,Female,1,None,245677.13,Case Closed,Compounded,ASI Randhawa,Low,No
0526/2022,Mangaluru,Mangaladevi PS,Assault,"323, 115",2022-02-14,2022-02-18,"H.No. 973, Golla Chowk",16.795435,77.649475,Harsh Ray,46,Female,1320762226,Ira Patla; Lavanya Babu; Jagat Narain,35,Other,3,Vehicle,0,Under Investigation,,SI Mangal,Medium,No
0527/2018,Tumakuru,Bharathinagar PS,Robbery,"392, 309",2018-06-15,2018-06-19,"66, Sem Zila",16.030578,74.377865,Shivani Pal,47,Other,00604395768,Hamsini Roy,59,Other,1,Firearm,465368.47,Charge Sheet Filed,Compounded,Inspector Khare,High,No
0528/2019,Mysuru,Krishnaraja PS,Chain Snatching,"356, 304",2019-09-01,2019-09-02,"19/90, Kota Road",15.093902,76.297932,Bhavya Deo,37,Male,03463372471,Zashil Varma; Gunbir Sachar; Aradhana Issac,36,Other,3,None,24340.27,Acquitted,Convicted,SI Gupta,Medium,No
0529/2020,Shivamogga,Vinoba Nagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2020-11-09,2020-11-13,"78/65, Nayak Road",16.131048,74.807985,Madhavi Sachdeva,50,Male,+916081427043,Unknown,,,0,None,0,Under Investigation,,DySP Varughese,High,No
0530/2018,Mangaluru,Mangaladevi PS,Burglary,"331(4), 305",2018-12-08,2018-12-11,"57, Reddy Road",13.889341,78.131504,Vasana Sahni,37,Female,09896554698,Ekaja Gupta; Xalak Chauhan; Meera Vohra,60,Female,3,None,312093.29,FIR Registered,,CPI Raj,Medium,No
0531/2026,Belagavi,Camp PS,Robbery,"392, 309",2026-05-18,2026-05-22,"60/96, Chopra",16.090607,76.070734,Nachiket Raju,61,Male,06506180642,Anusha Konda; Chakradhar Nagy; Anjali Seshadri,52,Male,3,None,197769.45,Charge Sheet Filed,Acquitted,SI Master,High,No
0532/2024,Ballari,Bruhat Bangalore PS,Chain Snatching,"356, 304",2024-12-08,2024-12-12,"89, Gola",12.283388,74.071484,Anvi Basak,61,Other,05011208172,Utkarsh Khanna; Logan Dara; Jagrati Bala,37,Male,3,None,62982.2,Case Closed,Acquitted,SI Baria,Medium,No
0533/2025,Bengaluru Urban,Whitefield PS,Counterfeiting,"489B, 178",2025-04-10,2025-04-11,"H.No. 32, Chander Street",14.817924,74.098176,Geetika Hegde,45,Other,02011698462,Kai Modi,23,Female,1,None,0,Pending Court Trial,Acquitted,ASI Jaggi,Low,No
0534/2023,Mangaluru,Kankanady PS,Rioting,"147, 191",2023-06-10,2023-06-13,"H.No. 474, Nagy Marg",13.83695,74.461986,Sai Dugal,46,Other,+912087558070,Sanya Sha,30,Female,1,Vehicle,0,Under Investigation,,SI Manda,Low,No
0535/2026,Tumakuru,Bharathinagar PS,Counterfeiting,"489B, 178",2026-04-08,2026-04-12,"747, Deo Road",14.902707,76.659677,Aditya Bala,53,Female,+917515260103,Unknown,,,0,None,0,Pending Court Trial,Dismissed,ASI Shah,Low,No
0536/2026,Ballari,Bruhat Bangalore PS,Domestic Violence,"498A, 85",2026-01-04,2026-01-04,"H.No. 27, Mannan",17.723984,74.526233,Jeremiah Ganguly,45,Other,+915894439696,Pranav Narayan; Baghyawati Hora,53,Male,2,Acid,0,Pending Court Trial,Dismissed,DySP Dixit,Medium,No
0537/2018,Kalaburagi,Station Bazaar PS,Eve Teasing/Harassment,"354, 354A",2018-03-27,2018-03-28,"25/957, Pal",15.613611,77.082383,Unni Bala,30,Female,+911167506446,Aadi Ghosh; Qadim Desai,46,Male,2,None,0,Charge Sheet Filed,Acquitted,Inspector Chaudhuri,Low,No
0538/2026,Shivamogga,Town PS,Chain Snatching,"356, 304",2026-02-09,2026-02-14,"84, Oommen",16.74478,77.001754,Turvi Karan,44,Other,+912834574384,Anita Bhavsar; Abeer Aggarwal,48,Male,2,None,311110.27,Case Closed,Compounded,CPI Chandran,Medium,No
0539/2023,Belagavi,Camp PS,Hit and Run,"304A, 106",2023-07-09,2023-07-09,"H.No. 487, Reddy",14.011507,75.173636,Tarak Palan,49,Female,01391016115,Urishilla Ratta,31,Other,1,None,0,Convicted,Convicted,SI Setty,Low,No
0540/2018,Mangaluru,Kankanady PS,Burglary,"331(4), 305",2018-09-18,2018-09-20,"28, Bora Circle",18.45564,77.531986,Divya Tandon,57,Male,04858820067,Unknown,,,0,None,281209.73,Case Closed,Pending,ASI Bava,Medium,No
0541/2025,Bengaluru Urban,Jayanagar PS,Murder,"302, 103",2025-09-27,2025-10-01,"H.No. 509, Mander Circle",18.322618,77.517436,Qabil Parekh,24,Other,05117442731,Unknown,,,0,Rope,0,Pending Court Trial,Convicted,ASI Bassi,High,No
0542/2018,Ballari,Cowl Bazar PS,Arson,"436, 324",2018-06-21,2018-06-25,"H.No. 79, Pandit Road",13.544861,75.986831,Netra Shan,58,Male,+914795313046,Vrinda Kumar,41,Male,1,None,0,Under Investigation,,DySP Krish,High,No
